"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"ABM_RankingTask_2015_new2.nlogo"
"experiment"
"05/14/2024 12:49:47:362 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","23","0","10"
"[run number]","team_size","game_size","[step]","team_size","game_size","mu_agree","sd_agree","mu_talk","sd_talk","mu_crit","sd_crit","reached_consensus?","team_score","gain_score","synergy_score"
"2","5","4","6","5","4","2","2","2","2","0","0.5","true","0","0.20020000000000002","-0.333"
"3","5","4","10","5","4","2","2","2","2","0","0.5","true","0.333","-4.0000000000001146E-4","-0.667"
"6","5","4","6","5","4","2","2","2","2","0","0.5","true","0.333","0.3332","0"
"5","5","4","7","5","4","2","2","2","2","0","0.5","true","0.667","0.7338","0.334"
"4","5","4","12","5","4","2","2","2","2","0","0.5","true","1","1","0.33299999999999996"
"9","5","4","6","5","4","2","2","2","2","0","0.5","true","0.667","0.6668000000000001","0"
"7","5","4","7","5","4","2","2","2","2","0","0.5","true","0.667","0.3336","0"
"8","5","4","8","5","4","2","2","2","2","0","0.5","true","-1","-1.1334","-2"
"1","5","4","4","5","4","2","2","2","2","0","0.5","true","1","0.6664","0.33299999999999996"
"11","5","4","5","5","4","2","2","2","2","0","0.5","true","0","0.2","0"
"10","5","4","7","5","4","2","2","2","2","0","0.5","true","0.333","0.3996","-0.334"
"12","5","4","6","5","4","2","2","2","2","0","0.5","true","-0.667","-0.467","-0.667"
"14","5","4","12","5","4","2","2","2","2","0","0.5","true","-0.667","-0.867","-1.334"
"16","5","4","7","5","4","2","2","2","2","0","0.5","true","1","0.7334","0"
"17","5","4","5","5","4","2","2","2","2","0","0.5","true","0.333","0.133","-0.334"
"13","5","4","6","5","4","2","2","2","2","0","0.5","true","0.333","0.1998","0"
"18","5","4","5","5","4","2","2","2","2","0","0.5","true","-1","-0.6666","-1"
"19","5","4","7","5","4","2","2","2","2","0","0.5","true","1","1.1332","0.33299999999999996"
"20","5","4","6","5","4","2","2","2","2","0","0.5","true","0","-0.0668","-0.667"
"22","5","4","5","5","4","2","2","2","2","0","0.5","true","0","0.2666","-0.333"
"23","5","4","8","5","4","2","2","2","2","0","0.5","true","-1","-1.0002","-1.667"
"21","5","4","9","5","4","2","2","2","2","0","0.5","true","0.667","1.0672000000000001","0.667"
"25","5","4","8","5","4","2","2","2","2","0","0.5","true","1","1.0666","0.33299999999999996"
"27","5","4","7","5","4","2","2","2","2","0","0.5","true","0.333","0.1996","-0.334"
"26","5","4","6","5","4","2","2","2","2","0","0.5","true","-0.333","-0.19979999999999998","-0.666"
"24","5","4","11","5","4","2","2","2","2","0","0.5","true","-0.333","-0.39980000000000004","-1.333"
"28","5","4","5","5","4","2","2","2","2","0","0.5","true","1","1.1334","0.33299999999999996"
"29","5","4","8","5","4","2","2","2","2","0","0.5","true","0","0.2","-0.333"
"30","5","4","5","5","4","2","2","2","2","0","0.5","true","0","0.20020000000000002","-0.333"
"31","5","4","7","5","4","2","2","2","2","0","0.5","true","-0.333","-0.46640000000000004","-1"
"32","5","4","9","5","4","2","2","2","2","0","0.5","true","0","0.33340000000000003","-0.333"
"33","5","4","9","5","4","2","2","2","2","0","0.5","true","0.333","0.26660000000000006","-0.667"
"35","5","4","6","5","4","2","2","2","2","0","0.5","true","0.667","1.1338","-0.33299999999999996"
"34","5","4","8","5","4","2","2","2","2","0","0.5","true","-0.333","2.0000000000003348E-4","-0.333"
"36","5","4","8","5","4","2","2","2","2","0","0.5","true","0.333","0.2664","0"
"37","5","4","6","5","4","2","2","2","2","0","0.5","true","0.667","0.5336000000000001","-0.33299999999999996"
"39","5","4","6","5","4","2","2","2","2","0","0.5","true","1","0.8668","0"
"38","5","4","8","5","4","2","2","2","2","0","0.5","true","-0.667","-0.6004","-1.334"
"40","5","4","6","5","4","2","2","2","2","0","0.5","true","0","0.2","-0.333"
"41","5","4","6","5","4","2","2","2","2","0","0.5","true","-0.333","-0.7998000000000001","-1"
"42","5","4","5","5","4","2","2","2","2","0","0.5","true","-0.667","-0.667","-1"
"43","5","4","5","5","4","2","2","2","2","0","0.5","true","0.667","0.6668000000000001","0"
"44","5","4","7","5","4","2","2","2","2","0","0.5","true","0","-0.13340000000000002","-0.667"
"46","5","4","5","5","4","2","2","2","2","0","0.5","true","0","0","-0.333"
