[run number];team_size;game_size;knowledge_sharing;[step];team_score;gain_score;synergy_score;agent_names;reached_consensus?;[agreeableness] of turtles;[talkativeness] of turtles;[neuroticism] of turtles;[critical_thinking] of turtles;[knowledge] of turtles
1752;5;8;0.8;31;0.0;0.0;0.0;[neuro_agent talk_agent agree_agent talk_agent agree_agent f g h i j];FALSE;[2.66 4.36];[5.56 3.17];[2.09];[0];[0]
2137;5;8;0.8;16;0.0;0.0;-0.357;[talk_agent know_agent know_agent neuro_agent know_agent f g h i j];TRUE;[0];[3.99];[3.29];[0];[0.74 0.8 0.62]
6020;5;8;0.8;20;0.0;0.0;-0.357;[crit_agent know_agent know_agent know_agent talk_agent f g h i j];TRUE;[0];[2.22];[0];[0.28];[0.79 0.66 0.93]
9403;5;8;0.8;18;0.0;0.0;-0.357;[crit_agent talk_agent know_agent agree_agent know_agent f g h i j];TRUE;[3.77];[2.58];[0];[0.43];[0.53 0.72]
8716;5;8;0.8;11;0.0;-0.01419999999999999;-0.286;[know_agent know_agent neuro_agent neuro_agent know_agent f g h i j];TRUE;[0];[0];[2.88 2.9];[0];[0.76 0.69 0.84]
9456;5;8;0.8;20;0.0;-0.014199999999999994;-0.214;[crit_agent know_agent know_agent know_agent know_agent f g h i j];TRUE;[0];[0];[0];[0.21];[0.67 0.63 0.6 0.64]
458;5;8;0.8;16;0.0;0.014199999999999996;-0.286;[know_agent know_agent neuro_agent agree_agent neuro_agent f g h i j];TRUE;[2.13];[0];[2.84 2.16];[0];[0.9 0.71]
9983;5;8;0.8;16;0.0;0.014199999999999996;-0.429;[know_agent know_agent talk_agent agree_agent crit_agent f g h i j];TRUE;[4.28];[2.39];[0];[0.4];[0.64 0.87]
50;5;8;0.8;20;0.0;-0.014199999999999996;-0.643;[talk_agent agree_agent know_agent talk_agent know_agent f g h i j];TRUE;[2.17];[2.5 2.07];[0];[0];[0.89 0.59]
9964;5;8;0.8;14;0.0;0.0142;-0.5;[know_agent neuro_agent know_agent talk_agent know_agent f g h i j];TRUE;[0];[3.49];[3.63];[0];[0.51 0.86 0.86]
9821;5;8;0.8;17;0.0;-0.0142;-0.5;[know_agent know_agent know_agent talk_agent neuro_agent f g h i j];TRUE;[0];[2.49];[4.18];[0];[0.83 0.64 0.58]
6917;5;8;0.8;12;0.0;-0.014200000000000008;-0.357;[talk_agent talk_agent know_agent neuro_agent know_agent f g h i j];TRUE;[0];[2.4 4.4];[4.0];[0];[0.74 0.67]
2336;5;8;0.8;16;0.0;-0.01420000000000001;-0.357;[neuro_agent neuro_agent know_agent know_agent know_agent f g h i j];TRUE;[0];[0];[5.59 4.03];[0];[0.58 0.78 0.98]
7429;5;8;0.8;16;0.0;0.014399999999999996;-0.286;[agree_agent know_agent crit_agent agree_agent know_agent f g h i j];TRUE;[3.25 2.3];[0];[0];[0.35];[0.86 0.81]
6267;5;8;0.8;17;0.0;-0.014399999999999996;-0.357;[neuro_agent know_agent know_agent know_agent agree_agent f g h i j];TRUE;[4.32];[0];[2.09];[0];[0.51 0.8 0.51]
2316;5;8;0.8;10;0.0;-0.0144;-0.143;[know_agent neuro_agent neuro_agent know_agent know_agent f g h i j];TRUE;[0];[0];[4.90 3.16];[0];[0.66 0.55 0.57]
8876;5;8;0.8;19;0.0;-0.014400000000000005;-0.5;[talk_agent know_agent know_agent talk_agent talk_agent f g h i j];TRUE;[0];[4.24 2.27 7.18];[0];[0];[0.95 0.79]
4820;5;8;0.8;16;0.0;0.014400000000000007;-0.214;[know_agent know_agent crit_agent agree_agent talk_agent f g h i j];TRUE;[3.28];[3.81];[0];[0.36];[0.9 0.69]
709;5;8;0.8;20;0.0;0.014400000000000007;-0.571;[talk_agent know_agent know_agent agree_agent talk_agent f g h i j];TRUE;[5.85];[3.64 2.43];[0];[0];[0.6 0.94]
6439;5;8;0.8;12;0.0;-0.014400000000000013;-0.643;[know_agent talk_agent know_agent neuro_agent neuro_agent f g h i j];TRUE;[0];[2.27];[3.48 3.27];[0];[0.7 0.96]
4546;5;8;0.8;13;0.0;0.02839999999999999;-0.429;[agree_agent know_agent talk_agent agree_agent talk_agent f g h i j];TRUE;[2.92 2.95];[3.55 2.20];[0];[0];[0.9]
594;5;8;0.8;24;0.0;0.028399999999999998;-0.429;[neuro_agent talk_agent know_agent know_agent agree_agent f g h i j];TRUE;[2.28];[3.18];[2.13];[0];[0.69 0.85]
98;5;8;0.8;12;0.0;0.0284;-0.286;[know_agent know_agent neuro_agent know_agent agree_agent f g h i j];TRUE;[5.48];[0];[2.59];[0];[0.92 0.78 0.54]
4297;5;8;0.8;19;0.0;-0.0284;-0.5;[talk_agent know_agent talk_agent know_agent know_agent f g h i j];TRUE;[0];[3.76 6.53];[0];[0];[0.81 0.98 0.55]
1637;5;8;0.8;16;0.0;0.028599999999999997;-0.143;[know_agent know_agent crit_agent know_agent talk_agent f g h i j];TRUE;[0];[2.56];[0];[0.35];[0.64 0.59 0.6]
184;5;8;0.8;25;0.0;0.028599999999999997;-0.214;[crit_agent know_agent know_agent know_agent know_agent f g h i j];TRUE;[0];[0];[0];[0.28];[0.61 0.72 0.52 0.57]
341;5;8;0.8;14;0.0;0.028599999999999997;-0.429;[know_agent agree_agent know_agent talk_agent talk_agent f g h i j];TRUE;[2.17];[4.99 2.23];[0];[0];[0.81 0.93]
1806;5;8;0.8;20;0.0;-0.028599999999999997;-0.5;[talk_agent talk_agent know_agent know_agent crit_agent f g h i j];TRUE;[0];[3.9 2.18];[0];[0.72];[0.75 0.99]
9616;5;8;0.8;23;0.0;-0.028599999999999997;-0.571;[talk_agent know_agent know_agent neuro_agent agree_agent f g h i j];TRUE;[2.15];[3];[5.98];[0];[0.92 0.73]
6493;5;8;0.8;28;0.0;0.028600000000000004;-0.286;[know_agent know_agent talk_agent talk_agent crit_agent f g h i j];TRUE;[0];[3.19 2.08];[0];[0.29];[0.74 0.67]
3885;5;8;0.8;24;0.0;0.028799999999999992;-0.214;[crit_agent talk_agent know_agent talk_agent know_agent f g h i j];TRUE;[0];[2.00 3.59];[0];[0.45];[0.61 0.86]
