[run number];team_size;game_size;knowledge_sharing;[step];team_score;gain_score;synergy_score;agent_names;reached_consensus?;[agreeableness] of turtles;[talkativeness] of turtles;[neuroticism] of turtles;[critical_thinking] of turtles;[knowledge] of turtles
7;5;8;0.8;17;0.571;0.8281999999999999;0.714;[talk_agent neuro_agent crit_agent neuro_agent crit_agent f g h i j];true;[1 1 1 1 1];[2.16 1 1 1 1];[1 1 4.05 4.4 1];[0 0.71 0 0 0.52];[0.2 0.2 0.2 0.2 0.2]
8;5;8;0.8;14;-0.643;-0.37160000000000004;-0.5;[talk_agent agree_agent talk_agent talk_agent neuro_agent f g h i j];true;[1 1 1 1 2.32];[4.16 2.19 1 4.22 1];[1 1 2.77 1 1];[0 0 0 0 0];[0.2 0.2 0.2 0.2 0.2]
4;5;8;0.8;31;0.21400000000000002;0.21400000000000002;-0.429;[talk_agent crit_agent know_agent know_agent talk_agent f g h i j];true;[1 1 1 1 1];[1 3.86 1 1 2.55];[1 1 1 1 1];[0 0 0 0.22 0];[0.88 0.2 0.6 0.2 0.2]
2;5;8;0.8;9;-0.21400000000000002;-0.15680000000000002;-0.5;[know_agent know_agent talk_agent crit_agent agree_agent f g h i j];true;[1 1 1 3.8 1];[1 1 1 1 4.95];[1 1 1 1 1];[0 0.29 0 0 0];[0.79 0.2 0.55 0.2 0.2]
5;5;8;0.8;13;0.143;0.42879999999999996;0.143;[neuro_agent neuro_agent talk_agent agree_agent know_agent f g h i j];true;[1 1 3.08 1 1];[1 1 1 1 2.83];[2.27 2.29 1 1 1];[0 0 0 0 0];[0.2 0.2 0.2 0.57 0.2]
3;5;8;0.8;22;0.286;0.31479999999999997;0;[know_agent know_agent agree_agent crit_agent know_agent f g h i j];true;[1 4.31 1 1 1];[1 1 1 1 1];[1 1 1 1 1];[0 0 0 0.46 0];[0.83 0.2 0.74 0.2 0.71]
11;5;8;0.8;26;0.357;0.44279999999999997;0.143;[know_agent talk_agent know_agent talk_agent talk_agent f g h i j];true;[1 1 1 1 1];[2.8 1 4.52 1 4.05];[1 1 1 1 1];[0 0 0 0 0];[0.2 0.61 0.2 0.8 0.2]
1;5;8;0.8;16;-0.286;-0.2286;-0.643;[know_agent know_agent neuro_agent agree_agent crit_agent f g h i j];true;[1 1 3.66 1 1];[1 1 1 1 1];[2.29 1 1 1 1];[0 0 0 0 0.3];[0.2 0.54 0.2 0.87 0.2]
12;5;8;0.8;21;-0.429;-0.2004;-0.643;[crit_agent crit_agent know_agent talk_agent neuro_agent f g h i j];true;[1 1 1 1 1];[1 1 2.2 1 1];[1 1 1 1 2.37];[0.22 0 0 0.23 0];[0.2 0.91 0.2 0.2 0.2]
9;5;8;0.8;12;0.143;0.22859999999999997;0;[crit_agent agree_agent know_agent know_agent crit_agent f g h i j];true;[1 1 5.74 1 1];[1 1 1 1 1];[1 1 1 1 1];[0 0 0 0.25 0.34];[0.7 0.74 0.2 0.2 0.2]
6;5;8;0.8;17;0.071;-4,00E+11;-0.286;[know_agent know_agent know_agent crit_agent know_agent f g h i j];true;[1 1 1 1 1];[1 1 1 1 1];[1 1 1 1 1];[0.55 0 0 0 0];[0.2 0.55 0.56 0.67 0.67]
10;5;8;0.8;28;0.643;0.686;0.42900000000000005;[crit_agent agree_agent know_agent know_agent crit_agent f g h i j];true;[3.7 1 1 1 1];[1 1 1 1 1];[1 1 1 1 1];[0 0 0 0.96 0.29];[0.2 0.59 0.77 0.2 0.2]
15;5;8;0.8;21;0.21400000000000002;0.3856;2,78E-01;[neuro_agent neuro_agent know_agent crit_agent agree_agent f g h i j];true;[1 1 1 1 2.66];[1 1 1 1 1];[3.47 1 5.3 1 1];[0 0 0 0.23 0];[0.2 0.79 0.2 0.2 0.2]
17;5;8;0.8;15;0.071;0.19940000000000002;-0.072;[agree_agent talk_agent know_agent neuro_agent agree_agent f g h i j];true;[1 3.43 2.98 1 1];[2.16 1 1 1 1];[1 1 1 3.4 1];[0 0 0 0 0];[0.2 0.2 0.2 0.2 0.74]
19;5;8;0.8;21;-0.357;-0.44279999999999997;-0.643;[crit_agent know_agent know_agent agree_agent know_agent f g h i j];true;[3.3 1 1 1 1];[1 1 1 1 1];[1 1 1 1 1];[0 0 0.33 0 0];[0.2 0.63 0.2 0.7 0.81]
14;5;8;0.8;19;-0.429;-0.2148;-0.429;[neuro_agent know_agent talk_agent talk_agent crit_agent f g h i j];true;[1 1 1 1 1];[1 1 3.18 3.45 1];[4.55 1 1 1 1];[0 0 0 0 0.55];[0.2 0.52 0.2 0.2 0.2]
13;5;8;0.8;19;0.286;0.5287999999999999;0.42899999999999994;[agree_agent crit_agent talk_agent talk_agent crit_agent f g h i j];true;[1 1 3.31 1 1];[3.43 1 1 1 5.21];[1 1 1 1 1];[0 0.42 0 0.32 0];[0.2 0.2 0.2 0.2 0.2]
18;5;8;0.8;10;-0.429;-0.1862;-0.572;[agree_agent neuro_agent neuro_agent neuro_agent know_agent f g h i j];true;[1 1 3.57 1 1];[1 1 1 1 1];[4.43 1 1 3.58 3.61];[0 0 0 0 0];[0.2 0.63 0.2 0.2 0.2]
16;5;8;0.8;18;0.429;0.4576;0.07200000000000001;[neuro_agent know_agent know_agent talk_agent crit_agent f g h i j];true;[1 1 1 1 1];[1 1 1 1 3.37];[1 1 2.58 1 1];[0 0 0 0.29 0];[0.66 0.78 0.2 0.2 0.2]
22;5;8;0.8;16;0.21400000000000002;0.25680000000000003;0.07100000000000004;[neuro_agent know_agent know_agent agree_agent know_agent f g h i j];true;[1 3.77 1 1 1];[1 1 1 1 1];[1 1 3.11 1 1];[0 0 0 0 0];[0.74 0.2 0.2 0.59 0.52]
24;5;8;0.8;20;0;0.1714;0;[talk_agent talk_agent neuro_agent neuro_agent know_agent f g h i j];true;[1 1 1 1 1];[1 4.68 2.9 1 1];[2.73 1 1 1 2.15];[0 0 0 0 0];[0.2 0.2 0.2 0.62 0.2]
23;5;8;0.8;14;-0.286;-0.028799999999999992;-0.357;[know_agent neuro_agent talk_agent know_agent neuro_agent f g h i j];true;[1 1 1 1 1];[1 1 1 1 2.8];[1 2.81 2.09 1 1];[0 0 0 0 0];[0.76 0.2 0.2 0.53 0.2]
20;5;8;0.8;25;-0.071;0.22899999999999998;0.14300000000000002;[crit_agent talk_agent agree_agent agree_agent talk_agent f g h i j];true;[5.24 1 1 4.4 1];[1 3.14 2.56 1 1];[1 1 1 1 1];[0 0 0 0 0.42];[0.2 0.2 0.2 0.2 0.2]
21;5;8;0.8;14;0;0.3712;0.214;[agree_agent talk_agent neuro_agent neuro_agent crit_agent f g h i j];true;[1 1 1 2.56 1];[1 5.28 1 1 1];[1 1 2.68 1 3.77];[0.21 0 0 0 0];[0.2 0.2 0.2 0.2 0.2]
